address_id,city,state,country
11 W 53rd St,New York,NY,USA
12 Ulitsa Volkhonka,Moscow,,Russia
180 St Kilda Rd,Melbourne,Victoria,Australia
"Av. Paulista, 1578 - Bela Vista",São Paulo,,Brazil
Palace Square,2,Sankt-Peterburg,Russia
1000 5th Ave,New York,NY,USA
Museumsplatz 1,45128,Essen,Germany
5 Pl. de Lavalette,38000,Grenoble,France
40 Pl. Saint-Corentin,29000,Quimper,France
4525 Oak St,Kansas City,MO,USA
Rue de Rivoli,75001,Paris,France
Romney Rd,London,SE10 9NF,United Kingdom
465 Huntington Ave,Boston,MA,USA
Museumstraat 1,Amsterdam,,Netherlands
Derech Ruppin 11,Jerusalem,,Israel
Heimplatz 1,Zurich,,Switzerland
Constitution Ave. NW,Washington,DC,USA
Trafalgar Square,London,England,UK
Plein 29,Den Haag,,Netherlands
1 Rue de la Légion d'Honneur,Paris,,France
"C. de Ruiz de Alarcón, 23",Madrid,,Spain
2025 Benjamin Franklin Pkwy,Philadelphia,PA,USA
Szent György tér 2,Budapest,,Hungary
11150 East Blvd,Cleveland,OH,USA
1001 Bissonnet St,Houston,TX,USA
1200 Getty Center Dr,Los Angeles,CA,USA
"P.º del Prado, 8",Madrid,,Spain
Museumplein 6,Amsterdam,,Netherlands
1600 21st St NW,Washington,DC,USA
2445 Monroe St,Toledo,OH,USA
5905 Wilshire Blvd,Los Angeles,CA,USA
1071 Fifth Avenue,New York,NY,USA
Millbank,London,England,UK
4000 N Michigan Rd,Indianapolis,IN,USA
3 Pl. Stanislas,Nancy,,France
100 34th  Avenue,San Francisco,CA,USA
800 G Street NW,Washington,DC,USA
2600 Benjamin Franklin Pkwy,Philadelphia,PA,USA
111 S Michigan Ave,Chicago,IL,USA
1 Fine Arts Dr,St. Louis,MO,USA
"Piazzale degli Uffizi, 6",Firenze,FL,Italy
1 Chome-1-15 Central,Kurashiki,Okayama,Japan
2 Rue Louis Boilly,Paris,,France
600 N Charles St,Baltimore,MD,USA
Houtkampweg 6,6731 AW Otterlo,,Netherlands
Cathays Park,Cardiff,Wales,UK
480 E Broad St,Columbus,OH,USA
3333 Camp Bowie Blvd,Fort Worth,TX,USA
William Brown St,Liverpool,,UK
Brynjulf Bulls plass 3,Oslo,,Norway
1717 N Harwood St,Dallas,TX,USA
Hodlerstrasse 8,Bern,,Switzerland
129 Rue de Grenelle,Paris,,France
1 Memorial Pl,Norfolk,VA,USA
Václavské nám. 68,Nové Měst,,Czechia
411 W Colorado Blvd,Pasadena,CA,USA
Somerset House,Stran,London,UK
