work_id,name,artist_id,style,url,subject,museum_id,size_id
160228,Still Life with Flowers and a Watch,615,Baroque,#REF!,Still-Life,43,24
160236,Still Life with Fruit and a Beaker on a Cock's Foot,615,Baroque,#REF!,Still-Life,43,24
160244,Still Life with Fruit and a Goldfinch,615,Baroque,#REF!,Still-Life,43,24
160252,Still Life with Fruit and Oysters,615,Baroque,#REF!,Still-Life,43,24
160260,"Still Life with Fruit, Oysters, and a Porcelain Bowl",615,Baroque,#REF!,Still-Life,43,24
160268,The Overturned Bouquet,615,Baroque,#REF!,Still-Life,43,24
125752,Arabian Horses at Pasture,757,Baroque,#REF!,Horses,,30
125818,Count Halm on His Basedow Estate,757,Baroque,#REF!,Horses,,30
23448,Horses at the Porch,757,Baroque,#REF!,Horses,34,20
125763,Napoleon Before the Burning City of Smolensk,757,Baroque,#REF!,Marine Art/Maritime,,30
125774,Peasants Resting in the Field,757,Baroque,#REF!,Marine Art/Maritime,,30
125785,Portrait Oberleutnant Theodor Von Klein,757,Baroque,#REF!,Marine Art/Maritime,,30
125796,The Rescue of Count Munnich,757,Baroque,#REF!,Marine Art/Maritime,,3629
125807,The Stable Yard,757,Baroque,#REF!,Marine Art/Maritime,,3024
24532,Jacob A. Stamler Departing Le Havre,563,,#REF!,Marine Art/Maritime,,3624
124470,Kaleda off Le Havre,563,,#REF!,Marine Art/Maritime,,30
124479,R. Bell &amp; Co. Steamship Bothal in a Heavy Swell,563,,#REF!,Marine Art/Maritime,,3624
124488,Steam Sailing Ship Finsbury in a Stormy Sea,563,,#REF!,Marine Art/Maritime,,3624
124497,The American Ship Olive S Southard in French Waters,563,,#REF!,Marine Art/Maritime,,3624
124506,The Atalanta Running Under Reduced Sail in a Gale,563,,#REF!,Marine Art/Maritime,,3624
124515,The Auxiliary Steamer County of Sutherland at Sea Under Steam and Sail,563,,#REF!,Marine Art/Maritime,,30
124524,The Auxiliary Steamer Rishanglys Calling for a Pilot Off a Headland,563,,#REF!,Marine Art/Maritime,,30
124533,The Barquentine Herdis of the American Star Line,563,,#REF!,Marine Art/Maritime,,30
124542,The First French Steam Battlefleet in Formation at Sea,563,,#REF!,Marine Art/Maritime,,3624
124551,The French Brig Dieudonne in Full Sail Off a Headland,563,,#REF!,Portraits,,3624
124560,The Full-Rigger King Ceolric Running Under Full Sail,563,,#REF!,Portraits,,3624
124569,The Richard Rylands Passing the Fastnet Rock,563,,#REF!,Portraits,,3624
124578,The Ship Jacob A. Stamler,563,,#REF!,Portraits,,3624
124587,The Three-Master Hahnemann in Full Sail Off a Headland,563,,#REF!,Portraits,,3624
135881,Comedian Tournelle,621,Neo-Classicism,#REF!,Portraits,,30
135892,Madame de Genlis,621,Neo-Classicism,#REF!,Portraits,60,2430
135903,Monsieur Meunier,621,Neo-Classicism,#REF!,Portraits,,2430
135914,Pierre Roch Vigneron,621,Neo-Classicism,#REF!,Portraits,,2430
135925,Portrait de Madame La Comtesse de Lameth,621,Neo-Classicism,#REF!,Portraits,,2430
135936,Portrait of a Man,621,Neo-Classicism,#REF!,Portraits,,2430
135947,Portrait of a Woman,621,Neo-Classicism,#REF!,Musics,,30
135958,Portrait of Gaspard Gilbert Delamalle,621,Neo-Classicism,#REF!,Portraits,,2430
31780,Portrait of Madame Labille-Guyard and Her Pupils,621,Neo-Classicism,#REF!,Portraits,35,36
135969,Portrait of the Duchesse D'Aiguillon,621,Neo-Classicism,#REF!,Portraits,,2430
31778,Portrait of the Painter Vincent,621,Neo-Classicism,#REF!,Portraits,40,2430
135980,Self-Portrait,621,Neo-Classicism,#REF!,Portraits,,2430
147731,Jean-Dominique Fabry Garat Playing Lyre,616,,#REF!,Portraits,,1620
147742,Portrait d'Aglae´-Constance Boudard en Robe de Velours Rouge,616,,#REF!,Portraits,,1620
147753,Portrait d'Ame´lie-Justine et de Charles-Edouard Pontois,616,,#REF!,Musics,,1620
147764,Portrait d'Ame´lie-Justine Laidin de la Bouterie,616,,#REF!,Portraits,,1620
147815,Portrait de la Famille de l'Artiste Posant Devant le Cha^teau de Juilly,616,,#REF!,Dancers,46,3629
147797,Portrait of a Lady,616,,#REF!,Portraits,,1624
147806,Portrait of a Mother and Child,616,,#REF!,Portraits,,2436
